lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,Class
12263,5786,9497,3076,9056,3586,7203,5738,7372,9018,8960,13839,1
11747,5261,9477,3094,9021,3605,7349,5941,7876,9745,9426,14848,1
13104,6391,9589,3490,8067,3491,6099,5090,6076,7738,7687,11394,1
11630,5387,9428,2885,9394,3479,7600,5811,7976,9749,9562,15126,1
12842,6307,9182,3499,8195,3702,6395,5165,6339,7684,7658,11757,1
11358,5095,9459,2950,9533,3406,7753,5861,7783,10084,9447,15531,1
10278,4498,9030,2316,10213,2915,8228,5833,8384,10685,11062,19048,1
9781,3851,8428,1797,9587,2506,8299,5685,9165,11755,13507,21984,1
13103,6314,9277,3366,8172,3474,6188,5134,6248,7662,7362,11296,1
12741,6196,9218,3356,8208,3458,6441,5547,7037,8999,9295,13303,1
11705,5210,9504,2891,9227,3256,7142,5609,7624,9822,9944,15978,1
12954,5989,9365,3252,8359,3339,6433,5046,6520,8001,7637,11791,1
13004,6451,9340,3438,8271,3659,6269,5205,6515,7914,7474,11573,1
13192,6440,9644,3680,8435,3993,6674,5799,6867,8327,8063,11792,1
12467,5966,9451,3343,8484,3677,7011,5646,7214,9172,8497,13469,1
13000,6118,9438,3378,8136,3490,6301,5069,6177,7857,7407,11515,1
12753,5974,9441,3457,8380,3618,6485,5432,6586,8397,7911,12347,1
12462,6097,9394,3392,8669,3748,6986,5767,7222,8947,8428,12837,1
12857,6302,9690,3751,8518,3837,6476,5732,6578,8374,8215,12154,1
11926,5729,9551,3052,9576,3608,7433,5860,7538,9433,9297,14642,1
12469,5839,9448,3099,8689,3266,6682,5065,6339,7784,7369,12108,1
12642,6032,9479,3487,8645,3713,6925,5664,7171,8922,8878,12862,1
12692,5972,9289,3256,8292,3467,6371,5327,6619,8223,8046,11994,1
12730,6090,9250,3302,8212,3442,6446,5247,6397,8032,7604,11860,1
13455,6500,9424,3434,8068,3738,6012,5148,6050,7640,7408,11016,1
12308,5835,9318,3201,8731,3576,6996,5661,7139,8716,8430,13041,1
13531,6417,9636,3419,8033,3596,6092,5087,6111,7778,7812,11551,1
13239,6473,9349,3600,8142,3960,6210,5429,6330,8074,7980,11421,1
13296,6511,9693,3516,8123,3542,6204,5053,6151,7304,7077,10986,1
12506,6098,9560,3452,8578,3662,6710,5353,6885,8559,8966,12770,1
13272,6602,9521,3843,8176,3977,6121,5530,6234,8056,7871,10934,1
11547,5755,9272,3584,9225,4085,7721,6553,8435,10558,10655,16151,1
11536,5362,9657,2673,10049,3029,7701,5562,7661,9905,10167,17302,1
11418,5166,9295,2595,9666,3178,7696,5739,8027,10235,10878,17078,1
10981,4778,9391,2679,9670,3080,7816,5907,7885,10459,10832,17472,1
12361,6017,9111,3164,8694,3370,6747,5248,6993,8937,9107,13896,1
10788,5395,9539,3164,9946,3687,8254,6407,8745,11515,11908,18660,1
12103,5425,9149,2912,8983,3126,6770,5184,6793,9134,8877,14286,1
12505,5777,8958,3110,8415,3325,6507,5356,6746,8471,8233,12981,1
11910,5566,9539,3111,9163,3655,7453,6012,8143,9930,11151,15213,1
12588,5882,9279,3173,8581,3572,6591,5541,6702,8816,8874,13550,1
12098,5783,9567,3246,9012,3550,7252,5626,7205,8874,9002,13687,1
11698,5871,9514,3412,9623,3875,7871,6422,8073,10238,9394,15579,1
11313,5524,9673,2949,9672,3191,7784,5944,7598,9871,9745,16218,1
10605,5020,9484,2936,10433,3534,8760,6511,8980,12215,12448,20025,1
11237,5453,9195,3035,9390,3359,7675,5845,7730,10136,9885,15881,1
8655,3562,8320,1713,10363,2313,8869,5679,9345,12077,13556,24424,1
11653,5398,9573,3115,9407,3600,7673,6039,7910,9989,9574,15533,1
11575,5356,9304,3014,9207,3425,7466,5803,7784,10160,10637,16132,1
11928,5858,9402,3236,8729,3407,6926,5626,7209,9201,9021,14189,1
11168,5420,9516,3134,9722,3606,8301,6516,8725,11017,10944,17441,1
10616,4821,9237,2808,10014,3569,8492,6422,8761,11279,12441,19102,1
11823,5483,9575,2917,9412,3211,7388,5505,7199,9145,8362,14496,1
11894,5412,9289,2727,9121,3106,7130,5323,7064,8818,9170,14262,1
12075,5393,9921,3042,9415,3551,7663,5845,7491,9697,8938,14641,1
10865,4755,9497,2756,10162,3220,8394,6162,8579,10879,11334,17745,1
11299,5001,9155,2802,9526,3332,7620,5805,8077,9681,9632,15553,1
11354,5278,9371,2890,9689,3428,7861,5922,8200,10563,10596,16930,1
11549,5312,9544,2756,9560,3121,7588,5582,7662,9279,9378,15195,1
10274,4737,9103,2764,10138,3508,8899,6801,9276,12272,12993,20084,1
11709,5631,9182,2933,9068,3312,7167,5530,7226,9265,9252,14469,1
9698,4377,8939,2199,10563,2953,9024,6253,9737,11738,13080,21909,1
11855,5361,9281,2808,9232,2918,7313,5142,7172,9221,9764,15441,1
11048,5046,9445,2696,9854,2935,7806,5572,7829,10260,10682,17120,1
11819,5570,9376,2920,8902,3299,7098,5646,7202,9377,9025,14633,1
12035,5485,9425,3016,8946,3211,6976,5316,7001,8707,8518,13314,1
12367,5979,9282,3204,8406,3325,6376,5165,6687,8271,8180,12755,1
9824,3981,8695,1890,9592,2464,8032,5615,8519,11243,13749,21724,1
11835,5315,9297,2620,9137,2868,7140,5305,7247,9265,9014,14892,1
9512,4224,8398,2425,9766,3109,8654,6411,9947,12950,17523,23338,1
12061,5668,9391,3193,8926,3586,7294,5931,7573,9173,9010,14071,1
12062,5523,9686,2887,9136,3101,7006,5480,7034,8992,8755,13942,1
11612,5220,9572,2834,9527,3167,7316,5613,7323,9232,9466,15476,1
10778,4835,9364,2516,9916,3153,8113,5670,8108,9882,10937,17421,1
11718,5453,9547,2889,9323,3212,7356,5500,7325,9239,9197,14951,1
10766,5101,9199,2675,9932,3376,8146,5894,8311,10606,10497,18060,1
11713,5508,9888,3097,9859,3337,7809,5966,8177,10014,10197,15901,1
11509,5405,9613,3029,9488,3368,7607,5911,7688,9788,9606,15150,1
10514,4494,9157,2314,10374,2857,8387,5966,8335,10811,11937,19215,1
12273,5895,9571,3533,8841,3658,7108,5711,7082,8768,8936,13601,1
11724,5566,9525,3039,9443,3350,7268,5672,7522,9503,10082,15514,1
12518,6224,9324,3507,8609,3828,6709,5913,7369,9528,9472,13748,1
12106,5761,9302,3058,8747,3284,6945,5521,7099,9471,9564,15187,1
10962,4931,9136,2362,9824,2717,7744,5431,7662,9769,9457,17455,1
12124,5892,9371,3495,9078,4008,7410,6136,7649,9858,9158,14027,1
12552,6710,9444,3921,8715,4057,7191,5933,6958,8918,8105,12508,1
11681,5414,9471,2971,9469,3385,7804,6007,7788,9958,9369,15837,1
12336,5894,9592,3134,9028,3405,6942,5325,6624,8574,8115,13462,1
12323,6114,9612,3441,9062,3737,7106,5597,6933,8976,8543,13538,1
12897,5881,9186,3305,8300,3475,6588,5409,6483,8470,8099,12531,1
11663,5379,9656,3075,9416,3521,7574,5885,7643,9691,10011,15526,1
12438,5803,9526,3084,8908,3678,6909,5682,7144,9154,8364,13569,1
12160,5741,9433,2960,8933,3240,6876,5385,6854,8846,8253,13722,1
11401,5286,9256,2900,9473,3192,7874,5900,7728,10243,9708,16589,1
11622,5564,9402,3228,9386,3682,7791,5976,7488,9471,8571,14068,1
9664,4075,8375,1956,9552,2454,8012,5603,8335,11567,13508,21846,1
10604,4750,9091,2607,9776,3102,7921,5840,7995,10665,11885,18900,1
12142,5859,9286,3195,8765,3477,6803,5573,6998,8806,9152,13572,1
12556,6164,9424,3594,8976,3885,7220,5924,7173,8835,8157,12762,1
12209,5941,9326,3100,8801,3386,6903,5550,6796,8688,8262,13410,1
12424,6133,9563,3550,8897,3769,6998,5820,6990,8595,7707,12610,1
12595,6104,9401,3419,8419,3626,6721,5520,6828,8748,8490,13141,1
11722,5446,9488,2761,9451,3240,7324,5484,7112,9185,8986,15630,1
12157,5619,9489,2978,9085,3262,7005,5425,7114,8863,8810,13699,1
12170,5746,9265,3331,8865,3594,7302,5876,7548,9458,8905,13981,1
